1	0.6683	0.3981	0.02893
2	0.6466	0.4722	0.06681	
3	0.6257	0.5627	0.1348	
4	0.5664	0.605	0.01645	
5	0.5228	0.4291	-0.07062	
6	0.6199	0.543	-0.04272	
7	0.6214	0.5309	-0.04374	
8	0.6311	0.3218	-0.01009	
9	0.5338	0.2592	0.01722	
10	0.6124	1.03E-5	0.1882	
11	0.815	-0.442	0.349	
12	0.6255	0.108	0.1192	
13	0.4831	-0.08333	0.1882	
14	0.4835	-0.3248	0.3376	
15	0.4848	-0.2563	0.3995	
16	0.5293	-0.4793	0.3783	
17	0.4932	-0.3292	0.4272	
18	0.6111	-0.3096	0.2072	
19	0.4765	0.1294	0.0517	
20	0.3081	-0.08281	-0.006333	
21	0.3706	-0.2512	-0.1075	
22	0.4806	-0.3029	-0.09489	
23	0.3249	0.00258	-0.3536	
24	0.4158	0.1595	-0.2667	
25	0.4621	0.2006	-0.06833	
26	0.2012	0.07656	-0.104	
27	0.1355	-0.09884	-0.2329	
28	-0.03451	-0.07383	-0.4746	
29	0.2795	0.2704	-0.1111	
30	0.1309	0.1363	-0.08591	
31	0.258	-0.1971	0.1251	
32	0.5389	-0.808	0.4371	
33	0.4312	-0.2812	0.2837	
34	0.3958	-1.097	0.1287	
35	0.5579	-0.9073	0.1413	
36	0.6316	-0.8773	0.09171	
37	0.3219	-0.4763	-0.1409	
38	0.346	-0.4455	0.02474	
39	0.04398	-0.3717	-0.3527	
40	-0.01758	-0.2947	-0.3936	
41	0.1127	-1.05	0.1489	
42	0.1175	-0.1872	-0.09681	
43	-0.1371	-0.2557	0.05952	
44	-0.2894	0.02252	-0.08238	
45	-0.4167	0.04024	-0.7254	
46	-0.6971	0.5918	-0.6035	
47	-0.6322	0.2181	-0.6405	
48	-0.3408	-0.1543	-0.6632	
49	-0.7889	-0.3789	-0.2896	
50	-0.5451	-0.6143	-0.01107	
51	-0.02489	-0.6698	0.1161	
52	0.3531	-0.6778	-0.6145	
53	0.4583	-0.5432	-0.8484	
54	-0.06871	-0.5677	-0.687	
55	0.1916	-0.178	0.2593	
56	0.5984	-0.6996	-0.765	
57	0.005721	-0.203	-0.6176	
58	0.05217	-0.06031	-0.2206	
59	0.3102	-0.783	-0.08771	
60	-0.1037	-1.125	-0.1431	
61	-0.203	-0.3248	-0.06826	
62	0.09994	-0.4553	-0.6822	
63	-0.7934	-0.4823	-0.07487	
64	0.1111	-0.2087	0.04546	
65	-0.007628	0.1995	0.02235	
66	0.6885	-0.5432	0.2579	
67	0.3245	-0.06616	-0.316	
68	0.2688	-0.01993	-0.3139	
69	0.3055	0.5448	-0.01681	
70	0.08635	-0.06211	-0.4596	
71	0.4896	0.04054	0.1366	
72	0.5662	-0.2562	-0.1988	
73	0.7265	-0.4226	-0.8231	
74	-0.2579	-0.09759	-0.513	
75	0.7603	-0.1509	-0.1716	
76	0.3332	0.07012	-0.3503	
77	-0.002548	0.07059	-0.3431	
78	-0.03374	-0.2299	0.07802	
79	-0.1115	0.1922	-0.01157	
80	-0.05627	0.07405	0.2103	
81	-0.06885	-0.4172	-0.06629	
82	-0.2073	-0.2228	0.2896	
83	0.03521	0.284	0.1184	
84	0.08194	-0.1308	0.1921	
85	0.0606	-0.1693	0.2776	
86	-0.2379	0.07404	0.07275	
87	-0.3171	0.05993	0.0872	
88	-0.3396	-7.055E-4	0.03553	
89	-0.1203	-0.2957	-0.2282	
90	-0.3253	-0.08095	-0.0145	
91	0.1746	0.5451	-0.1913	
92	-0.1448	0.5942	-0.2958	
93	-0.1677	0.3404	-0.4345	
94	-0.109	-0.1487	0.04208	
95	-0.1057	-0.01537	0.1574	
96	0.2712	-0.4591	-0.466	
97	0.05273	0.01039	-0.6396	
98	-0.1103	0.6092	-0.7722	
99	-0.4465	0.2916	-0.415	
100	-0.2227	-0.2544	-0.5701	
101	0.1284	-0.07929	-0.446	
102	0.1267	0.3171	-0.537	
103	0.4176	0.5988	-0.005151	
104	0.495	0.181	-0.2407	
105	0.2925	0.2472	0.02211	
106	0.3574	-0.4157	0.03238	
107	0.2073	-0.348	-0.1559	
108	0.04734	-0.1527	-0.4188	
109	0.2745	-0.4804	0.1413	
110	0.6734	-0.1159	-0.2256	
111	0.3289	0.8035	-0.1143	
112	0.2291	0.03971	-0.1353	
113	0.6619	-0.3344	0.5029	
114	0.7843	-0.4545	0.2908	
115	0.316	0.3221	0.2379	
116	-0.3784	0.6832	-0.4462	
117	-0.06245	-0.1972	-0.03301	
118	-0.04744	0.2149	0.3218	
119	0.2001	0.4684	-0.166	
120	-0.21	0.3271	-0.5231	
121	-0.02511	0.6202	-0.1756	
122	-0.1064	0.149	-0.1052	
123	0.4533	0.1204	0.2027	
124	0.3133	0.06443	0.1798	
125	0.04195	0.3326	-0.3876	
126	0.1244	0.4349	-0.3113	
127	-0.2596	0.3601	-0.1302	
128	0.05901	-0.4774	-0.3793	
129	0.3559	-0.2607	-0.3512	
130	0.1742	0.2716	-0.1683	
131	-0.02796	0.7225	0.3322	
132	0.2024	0.5313	0.03781	
133	0.5013	-0.09671	-0.1761	
134	0.3665	0.1452	-0.1998	
135	0.4285	0.04911	-0.07101	
136	-0.1836	0.6559	-0.6093	
137	-0.2408	-0.5287	-0.02932	
138	0.4405	-0.03741	-0.6172	
139	0.1557	0.4442	-0.09812	
140	0.3288	0.6589	-0.05019	
141	0.06122	0.3467	0.3282	
142	-0.4439	0.4708	-0.8532	
143	0.06336	0.4724	-0.4883	
